input_file, Read, PC, PCSA, HLL, KMV, MC, RC
datasets/dracula.txt, 0.00259637, 0.00300533, 0.00309651, 0.00313747, 0.0103477, 0.00407332, 0.00666495
datasets/dracula.txt, 0.00251676, 0.00314055, 0.00317803, 0.0034849, 0.0103239, 0.00401387, 0.00715002
datasets/dracula.txt, 0.00254602, 0.00306137, 0.00342355, 0.00322521, 0.0104254, 0.00420038, 0.0065207
datasets/dracula.txt, 0.00254181, 0.00312873, 0.00321724, 0.0032463, 0.0103531, 0.00404108, 0.00661899
datasets/dracula.txt, 0.00268407, 0.00307081, 0.00319222, 0.00324982, 0.0104326, 0.00406626, 0.0064171
datasets/dracula.txt, 0.00261756, 0.00312193, 0.00310389, 0.00319402, 0.0104954, 0.0040952, 0.00673391
datasets/dracula.txt, 0.00264797, 0.00308192, 0.00318898, 0.00336359, 0.010767, 0.00412913, 0.00688865
datasets/dracula.txt, 0.00253393, 0.00308568, 0.00319396, 0.00330592, 0.0105393, 0.00411458, 0.00654414
datasets/dracula.txt, 0.00254743, 0.00313511, 0.00345469, 0.0033454, 0.0104432, 0.00416651, 0.00651799
datasets/dracula.txt, 0.00253086, 0.00324914, 0.00327799, 0.00325821, 0.0106743, 0.0040293, 0.00659011
datasets/dracula.txt, 0.00252709, 0.00305755, 0.00325842, 0.00320241, 0.0103843, 0.00410859, 0.00639362
datasets/dracula.txt, 0.00260922, 0.0030378, 0.00318625, 0.00319049, 0.010398, 0.00408326, 0.00651548
datasets/dracula.txt, 0.00259654, 0.00305502, 0.00312093, 0.0031931, 0.0105876, 0.00407121, 0.00650109
datasets/dracula.txt, 0.00254041, 0.00307416, 0.00322799, 0.00324435, 0.0103443, 0.0041327, 0.0065359
datasets/dracula.txt, 0.00254895, 0.00310165, 0.00315333, 0.00331148, 0.0102805, 0.00413777, 0.00683502
datasets/dracula.txt, 0.00252418, 0.00309726, 0.00328246, 0.00317773, 0.0103045, 0.00408878, 0.00643558
datasets/dracula.txt, 0.00254816, 0.003089, 0.00320532, 0.00332297, 0.0104175, 0.0040946, 0.00638863
datasets/dracula.txt, 0.00251489, 0.00323721, 0.00322207, 0.00319408, 0.0107322, 0.00411263, 0.0063528
datasets/dracula.txt, 0.00260227, 0.00311873, 0.00316656, 0.00324239, 0.0104782, 0.00437734, 0.00646242
datasets/dracula.txt, 0.00252027, 0.00306785, 0.00318019, 0.00340307, 0.0105519, 0.00421055, 0.00651932
datasets/dracula.txt, 0.0026461, 0.0031337, 0.00328623, 0.00346679, 0.0106118, 0.00412717, 0.00665914
datasets/dracula.txt, 0.00257237, 0.0031253, 0.00316298, 0.00330049, 0.010503, 0.00414267, 0.00654931
datasets/dracula.txt, 0.00253191, 0.00309759, 0.00323544, 0.00347642, 0.0107387, 0.0041682, 0.00649638
datasets/dracula.txt, 0.002535, 0.00314756, 0.00338699, 0.00324246, 0.0107672, 0.00408683, 0.00659411
datasets/dracula.txt, 0.00261933, 0.00306047, 0.00324058, 0.0031635, 0.0104644, 0.00410891, 0.00652288
datasets/dracula.txt, 0.00284105, 0.00310966, 0.00315994, 0.00342428, 0.0104412, 0.00404201, 0.0064629
datasets/dracula.txt, 0.00256069, 0.00303457, 0.00329497, 0.00333526, 0.0104218, 0.00404749, 0.00669026
datasets/dracula.txt, 0.00251021, 0.00299338, 0.00316176, 0.00333022, 0.0104343, 0.00420649, 0.00658492
datasets/dracula.txt, 0.00248301, 0.00308595, 0.00338685, 0.0033205, 0.010331, 0.00414426, 0.006483
datasets/dracula.txt, 0.00254605, 0.00311378, 0.00341848, 0.00315476, 0.0102789, 0.00415957, 0.0065287
datasets/dracula.txt, 0.00269554, 0.00341348, 0.00327354, 0.00320499, 0.0103556, 0.00404499, 0.0064087
datasets/dracula.txt, 0.00252176, 0.00306606, 0.00306543, 0.00317414, 0.0103506, 0.00411066, 0.00660719
datasets/dracula.txt, 0.00252131, 0.00301644, 0.00310723, 0.0032133, 0.010432, 0.00402977, 0.00646256
datasets/dracula.txt, 0.00255706, 0.00306512, 0.00318265, 0.0031633, 0.0104789, 0.0040238, 0.00637821
datasets/dracula.txt, 0.00255059, 0.00315996, 0.00310977, 0.00326996, 0.0102935, 0.00401852, 0.00651562
datasets/dracula.txt, 0.00261883, 0.00303942, 0.00306422, 0.00320779, 0.0103665, 0.0041082, 0.00641438
datasets/dracula.txt, 0.00258529, 0.00303203, 0.00339405, 0.00318578, 0.0103003, 0.00405687, 0.00649028
datasets/dracula.txt, 0.00255686, 0.00305325, 0.00337742, 0.00316485, 0.0102749, 0.00405884, 0.00636842
datasets/dracula.txt, 0.00249811, 0.00315922, 0.00319602, 0.0032998, 0.0105922, 0.00412232, 0.00651474
datasets/dracula.txt, 0.00278469, 0.00315738, 0.00314871, 0.00336529, 0.0105349, 0.00407539, 0.0064356
datasets/dracula.txt, 0.0026191, 0.00310995, 0.00323449, 0.00339177, 0.0104637, 0.00406953, 0.00660232
datasets/dracula.txt, 0.00257318, 0.00305128, 0.0031966, 0.00322664, 0.0104808, 0.004061, 0.00656725
datasets/dracula.txt, 0.00250453, 0.00309379, 0.00323142, 0.00331006, 0.0102846, 0.00415417, 0.00664708
datasets/dracula.txt, 0.00249108, 0.00306372, 0.00331042, 0.00324578, 0.0103496, 0.00411783, 0.00645803
datasets/dracula.txt, 0.00255322, 0.00308921, 0.00313416, 0.00327413, 0.0103359, 0.00414465, 0.0064679
datasets/dracula.txt, 0.00253354, 0.00359895, 0.00314604, 0.00322907, 0.0106044, 0.00407841, 0.00635781
